procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 786076 464860  33672 5560584    0    0     0     0  770 1935 49  3 47  0  0
 4  0 786076 454308  33680 5560584    0    0     0    16  233  695 49  3 48  0  0
 5  0 786076 433536  33680 5560584  276    0   276     0 1117 3004 51  5 44  1  0
 5  0 786076 399772  33680 5560584   68    0    68     0 1237 3031 61  6 33  0  0
 4  0 786076 398020  33680 5560656    4    0    80     0  982 2432 52  4 44  0  0
 4  0 786076 398020  33680 5560656    0    0     0  6804  179  691 49  3 48  0  0
 4  0 786076 397520  33688 5560644    0    0     0    44  823 2024 48  5 46  0  0
 4  0 786076 397520  33688 5560644    0    0     0     0  173  675 48  5 47  0  0
 4  0 786076 397724  33688 5560640    0    0     0     0  770 1877 48  7 46  0  0
 4  0 786076 397724  33688 5560640    0    0     0     0  178  677 48  5 47  0  0
 6  0 786076 421016  33688 5560668    0    0    12 35236 1060 2501 50  5 45  0  0
 4  0 786076 421376  33696 5560668    0    0     0 81656  381  960 48  5 47  0  0
 4  0 786076 421168  33696 5560668    0    0     0     0  720 1795 49  4 47  0  0
 4  0 786076 421168  33696 5560668    0    0     0     0  183  681 48  4 48  0  0
 4  0 786076 420664  33696 5560668    0    0     0     0  855 2076 48  5 47  0  0
 4  0 786076 420664  33696 5560668    0    0     0     0  181  678 48  5 47  0  0
 4  0 786076 419712  33704 5560660    4    0     4 134020  968 2319 48  7 45  0  0
 4  0 786076 419712  33704 5560660    0    0     0     0  185  690 48  5 48  0  0
 4  0 786076 419460  33704 5560660    0    0     0     0  851 2060 50  3 47  0  0
 4  0 786076 419208  33704 5560660    0    0     0     0  179  678 48  4 47  0  0
 4  0 786076 418956  33704 5560660    0    0     0     0  827 1975 48  5 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 786076 418508  33712 5560632    0    0     0 72760  253  810 47  7 46  0  0
 4  0 786076 416536  33712 5560636    0    0     0     0  819 1920 48  6 46  0  0
 4  0 786076 416536  33712 5560632    0    0     0     0  184  688 48  5 47  0  0
 4  0 786076 416284  33712 5560632    0    0     0     0  839 2067 48  6 46  0  0
 4  0 786076 416284  33712 5560632    0    0     0     0  172  675 48  5 47  0  0
 4  0 786076 416284  33720 5560524    0    0     0    16  854 2053 48  6 46  0  0
 4  0 786076 416032  33720 5560528    0    0     0     0  163  687 49  3 48  0  0
 5  0 786076 415528  33720 5560528    0    0     0     0  698 1725 49  4 47  0  0
 4  0 786076 415276  33720 5560524    0    0     0     0  310  971 48  5 47  0  0
 4  0 786076 415276  33720 5560524    0    0     0     0  188  667 48  5 47  0  0
 4  0 786076 414772  33728 5560528    0    0     0    16  847 2057 48  5 46  0  0
 4  0 786076 403116  33728 5560528    0    0     0     0  211  657 48  6 47  0  0
 4  0 786076 401860  33728 5560532    0    0     0     0  809 2012 49  5 46  0  0
 4  1 786076 401860  33728 5560528   48    0    48     0  192  701 46  8 45  0  0
 4  0 786076 401356  33728 5560528   16    0    16     0  753 1843 47  7 45  0  0
 4  0 786076 401104  33736 5560528    0    0     0    16  193  684 47  6 46  0  0
 4  0 786076 401104  33736 5560528    0    0     0     0  854 2072 49  4 47  0  0
 4  0 786076 401104  33736 5560528    0    0     0     0  183  676 48  6 47  0  0
 4  0 786076 401608  33736 5560532    0    0     0     0  691 1734 48  7 45  0  0
 4  0 786076 401608  33736 5560528    0    0     0     0  177  658 47  6 47  0  0
 4  0 786076 401356  33744 5560528    0    0     0    36  865 2081 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 786076 399324  33744 5560528    0    0     0     0  176  669 49  4 47  0  0
 4  0 786076 399072  33744 5560528    0    0     0     0  895 2149 47  8 45  0  0
 4  0 786076 399072  33744 5560528    0    0     0     0  193  686 48  5 47  0  0
 4  0 786076 401136  33744 5560528    0    0     0     0  734 1820 49  4 47  0  0
 4  0 786076 401136  33752 5560508    0    0     0   160  217  754 48  5 47  0  0
 4  0 786076 400884  33752 5560492    0    0     0     0  768 1921 48  6 46  0  0
 5  0 786076 400884  33752 5560488    0    0     0     0  177  672 48  4 47  0  0
 4  0 786076 401644  33752 5560504    0    0     0     0  726 1862 49  4 47  0  0
 4  0 786076 401644  33752 5560504    0    0     0     0  177  665 49  4 48  0  0
 4  0 786076 402400  33760 5560492    0    0     0    20  803 2012 49  4 47  0  0
 4  0 786076 401816  33760 5560488    0    0     0     0  193  683 48  5 47  0  0
 4  0 786076 402864  33760 5560492    0    0     0     0  810 1960 49  5 47  0  0
 4  0 786076 402864  33760 5560488    0    0     0     0  179  684 49  4 48  0  0
 4  0 786076 402612  33760 5560492    0    0     0     0  775 1908 49  3 47  0  0
 4  0 786076 402360  33768 5560492    0    0     0    24  187  692 48  5 47  0  0
 4  0 786076 402832  33768 5560492    0    0     0     0  803 1957 48  6 46  0  0
 4  0 786076 402868  33768 5560492    0    0     0     0  173  674 48  6 47  0  0
 4  0 786076 402868  33768 5560492    0    0     0     0  811 1968 48  5 47  0  0
 4  0 786076 402616  33768 5560492    0    0     0     0  178  666 48  5 47  0  0
 5  0 786076 402616  33776 5560492    4    0     4    16  481 1268 49  4 48  0  0
 4  0 786076 402868  33776 5560496   32    0    32     4  530 1435 50  3 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 786076 403916  33776 5560496    0    0     0     0  237  689 49  4 48  0  0
 4  0 786076 403668  33776 5560500    0    0     0     0  845 2076 49  4 47  0  0
 4  0 786076 403668  33776 5560500    0    0     0     0  180  679 48  5 47  0  0
 4  0 786076 402924  33784 5560512    0    0     0    20  843 2044 48  5 46  0  0
 4  0 786076 402924  33784 5560512    0    0     0     8  180  674 48  5 47  0  0
 4  0 786076 402420  33784 5560516    0    0     0     0  753 1889 49  3 48  0  0
 4  0 786076 402420  33784 5560516    0    0     0     0  168  662 49  2 48  0  0
 4  0 786076 403176  33784 5560492    0    0     0     0  817 2020 50  2 48  0  0
 4  0 786076 403176  33792 5560496    0    0     0    16  175  670 48  5 47  0  0
 4  0 786076 402928  33792 5560496    0    0     0     0  784 1946 49  4 47  0  0
 4  0 786076 477268  33792 5559444    0    0     0     8  259  726 49  4 47  0  0
 4  0 786076 474460  33792 5559432    0    0     0     0  838 2054 48  6 46  0  0
 4  0 786076 473456  33792 5559432    0    0     0     0  184  666 47  6 47  0  0
 4  0 786076 472460  33800 5559444    0    0     0    28  861 2079 48  5 47  0  0
 4  0 786076 472460  33800 5559440    0    0     0     0  177  677 49  4 47  0  0
 4  0 786076 472208  33800 5559440    0    0     0    16  836 2020 47  7 46  0  0
 4  0 786076 472208  33800 5559440    0    0     0     0  176  675 48  6 46  0  0
 4  0 786076 471200  33800 5559444    0    0     0     0  697 1774 49  4 47  0  0
 4  0 786076 471200  33808 5559444    0    0     0    16  182  652 48  4 48  0  0
 4  0 786076 468428  33808 5559432    0    0     0     0  741 2066 48  5 47  0  0
 4  0 785564 462688  33808 5559428  716    0   716     0  284  792 48  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785564 460688  33808 5559428    0    0     0     4  762 1917 49  4 47  0  0
 4  0 785564 460184  33808 5559428    0    0     0     0  175  680 49  3 48  0  0
 4  0 785564 460692  33816 5559440    0    0     0    16  722 1803 49  5 46  0  0
 4  0 785564 460692  33816 5559440    0    0     0     0  182  663 48  4 47  0  0
 4  0 785564 459936  33816 5559444    0    0     0     0  828 2016 49  5 47  0  0
 4  0 785564 459936  33816 5559440    0    0     0     4  173  662 48  6 46  0  0
 4  0 785564 459684  33816 5559424    0    0     0     0  812 2024 49  5 47  0  0
 4  0 785564 459684  33824 5559424    0    0     0    16  185  692 48  5 47  0  0
 4  0 785564 458440  33824 5559444    0    0     0     0  775 1907 49  4 47  0  0
 4  0 785564 458672  33824 5559444    0    0     0     0  240  694 47  6 46  0  0
 5  0 785564 457488  33824 5559444    0    0     0     0  838 2027 48  6 46  0  0
 4  0 785564 456984  33824 5559412    0    0     0     4  175  678 49  3 48  0  0
 4  0 785564 456300  33832 5559412    0    0     0    16  783 1922 49  4 47  0  0
 4  0 785564 456480  33832 5559432    0    0     0     0  170  682 48  5 47  0  0
 5  0 785564 456480  33832 5559432    0    0     0     0  201  721 50  2 48  0  0
 4  0 785564 454728  33832 5559448    0    0     0     0  835 2030 50  2 48  0  0
 4  0 785564 454480  33832 5559448    0    0     0     4  185  672 48  5 47  0  0
 4  0 785564 454484  33840 5559464    0    0     0    16  866 2090 50  1 48  0  0
 4  0 785564 454484  33840 5559464    0    0     0     0  181  675 49  4 48  0  0
 4  0 785564 454236  33840 5559444    0    0     0     0  706 1810 49  5 46  0  0
 4  0 785564 452824  33840 5559444    0    0     0     0  248  685 49  3 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785564 452580  33840 5559444    0    0     0     0  859 2067 49  3 48  0  0
 4  0 785564 452580  33848 5559444    0    0     0    20  187  690 49  2 48  0  0
 4  0 785564 453348  33848 5559440    0    0     0     0  857 2044 49  5 47  0  0
 4  0 785564 453348  33848 5559440    0    0     0     0  167  642 49  3 48  0  0
 4  0 785564 454360  33848 5559444    0    0     0     0  878 2101 49  4 47  0  0
 4  0 785564 454360  33848 5559444    0    0     0     0  184  680 49  3 48  0  0
 4  0 785564 454112  33856 5559428    0    0     0    24  686 1773 48  5 46  0  0
 4  0 785564 453108  33856 5559428    8    0     8     0  180  680 48  5 47  0  0
 4  0 785564 452860  33856 5559428    0    0     0     0  837 2041 49  4 47  0  0
 4  0 785564 453656  33856 5559428    0    0     0     0  250  697 48  5 47  0  0
 4  0 785564 452148  33856 5559428    0    0     0     0  729 1825 48  7 46  0  0
 4  0 785564 451896  33864 5559424    0    0     0    16  190  693 48  6 47  0  0
 4  0 785564 451392  33864 5559432    0    0     0     8  857 2066 48  5 47  0  0
 4  0 785564 451140  33864 5559432    0    0     0     0  168  650 49  4 47  0  0
 4  0 785564 452656  33864 5559428    0    0     0     0  862 2084 49  4 47  0  0
 4  0 785564 452656  33864 5559428    0    0     0     0  188  710 48  5 47  0  0
 4  0 785564 450660  33872 5559448    0    0     0    28  768 1905 48  6 46  0  0
 4  0 785308 448392  33872 5559456  340    0   348    16  261  846 49  4 47  0  0
 4  0 785308 446880  33872 5559456    0    0     0     0  878 2089 47  7 46  0  0
 4  0 785308 457616  33872 5559452    0    0     0     0  273  748 49  4 47  0  0
 4  0 785308 454860  33872 5559452    0    0     0     0  797 1936 50  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785308 454860  33880 5559472    0    0     0    16  187  690 49  4 48  0  0
 4  0 785308 453852  33880 5559472    0    0     0     0  841 2032 48  6 46  0  0
 4  0 785308 453852  33880 5559460    0    0     0     4  159  655 49  2 48  0  0
 5  0 785308 453096  33880 5559460    0    0     0     0  838 2027 50  3 47  0  0
 4  0 785308 452592  33880 5559456    0    0     0     0  192  718 48  5 47  0  0
 4  0 785308 452592  33888 5559456    0    0     0    16  188  696 49  2 48  0  0
 4  0 785308 452592  33888 5559456    0    0     0     0  824 2005 50  3 47  0  0
 4  0 785308 452592  33888 5559456    0    0     0     4  180  685 49  3 48  0  0
 4  0 785308 439812  33888 5559476    0    0     0     0  912 2086 50  3 47  0  0
 4  0 785308 439060  33888 5559476    0    0     0     0  195  711 49  3 48  0  0
 4  0 785308 439060  33896 5559472    0    0     0    16  815 2032 49  4 47  0  0
 4  0 785308 439060  33896 5559764    0    0   292     0  241  855 49  3 48  0  0
 4  0 785308 438056  33896 5559768    0    0     0     0  841 2012 48  5 47  0  0
 4  0 785308 438056  33896 5559768    0    0     0     4  195  697 48  6 47  0  0
 4  0 785308 437804  33896 5559752    0    0     0     0  885 2095 48  7 46  0  0
 4  0 785308 437552  33904 5559752    0    0     0    16  185  697 49  4 47  0  0
 4  0 785308 437552  33904 5559752    0    0     0     0  816 2004 49  4 47  0  0
 4  0 785308 437552  33904 5559752    0    0     0     0  178  681 49  4 48  0  0
 4  0 785308 438308  33904 5559732   16    0    16     4  862 2074 48  5 46  0  0
 4  0 785308 451768  33904 5559732    0    0     0     0  242  680 49  4 47  0  0
 4  0 785308 451268  33912 5559752    0    0     0    16  869 2114 49  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785308 451268  33912 5559752    0    0     0     0  164  649 49  3 48  0  0
 4  0 785308 450512  33912 5559736    0    0     0     0  854 2048 49  4 47  0  0
 4  0 785308 450512  33912 5559736    0    0     0     0  177  679 49  3 48  0  0
 4  0 785308 449756  33912 5559752    0    0     0     4  764 1914 47  7 45  0  0
 4  0 785308 450008  33920 5559752    0    0     0    16  183  704 48  4 47  0  0
 5  0 785308 449756  33920 5559756    0    0     0     0  834 2037 48  5 46  0  0
 4  0 785308 449756  33920 5559756    0    0     0     0  178  679 48  4 48  0  0
 4  0 785308 449000  33920 5559732    0    0     0     0  860 2060 48  7 46  0  0
 4  0 785308 437176  33920 5559732    0    0     0     4  243  682 48  5 47  0  0
 4  0 785308 435428  33928 5559752    0    0     0    16  860 2066 49  5 46  0  0
 4  0 785308 435176  33928 5559752    0    0     0     0  178  657 50  1 49  0  0
 4  0 785308 433916  33928 5559752    0    0     0     0  876 2093 49  4 47  0  0
 4  0 785308 433916  33928 5559752    0    0     0     0  185  673 49  3 48  0  0
 4  0 785308 433916  33928 5559752   16    0    16     0  828 2013 49  4 47  0  0
 4  0 785308 433664  33936 5559752    0    0     0    20  183  698 48  5 47  0  0
 4  0 785308 433160  33936 5559752    0    0     0     0  851 2053 49  4 47  0  0
 4  0 785308 433160  33936 5559752    0    0     0     0  186  694 48  4 47  0  0
 5  0 785308 433160  33936 5559752    0    0     0     0  786 1886 49  3 48  0  0
 4  0 785308 434460  33936 5559756    0    0     0     0  339  899 50  3 48  0  0
 4  0 785308 434208  33944 5559756    0    0     0    28  188  700 48  5 47  0  0
 4  0 785308 433456  33944 5559760    0    0     0     0  858 2056 49  5 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785308 433456  33944 5559760    0    0     0     0  181  658 48  5 47  0  0
 4  0 785308 433456  33944 5559752    0    0     0     0  830 2041 50  3 47  0  0
 4  0 785308 433456  33944 5559752    0    0     0     0  177  689 48  4 48  0  0
 4  0 785308 433456  33952 5559740    0    0     0    28  772 1879 50  3 47  0  0
 4  0 785308 433468  33952 5559772    0    0     0    16  180  680 48  5 47  0  0
 4  0 785308 433220  33952 5559752    0    0     0     0  855 2059 50  2 48  0  0
 4  0 785308 432716  33952 5559756    0    0     0     0  178  673 50  1 49  0  0
 4  0 785308 482948  33952 5558728    0    0     0     0  909 2068 49  3 48  0  0
 4  0 785308 481592  33960 5558724    0    0     0    16  210  747 49  4 48  0  0
 4  0 785308 480088  33960 5558712    0    0     0     4  845 2036 50  2 48  0  0
 5  0 785308 479084  33960 5558712    0    0     0     0  185  657 49  3 48  0  0
 4  0 785308 478332  33960 5558716    0    0     0     0  829 2021 49  4 47  0  0
 4  0 785308 478332  33960 5558716    0    0     0     0  177  665 48  5 47  0  0
 4  0 785308 476820  33968 5558716    0    0     0    16  870 2095 50  3 48  0  0
 4  0 785308 475560  33968 5558716   16    0    16     0  204  739 50  2 49  0  0
 4  0 785308 473796  33968 5558716    0    0     0     4  709 1798 49  4 47  0  0
 4  0 785308 473544  33968 5558712    0    0     0     0  180  669 50  1 49  0  0
 4  0 785308 462956  33968 5558712    0    0     0     0  904 2074 50  3 47  0  0
 4  0 785308 464092  33976 5558712    0    0     0    16  194  704 48  4 47  0  0
 4  0 785308 463092  33976 5558708    0    0     0     0  840 2040 49  4 47  0  0
 4  0 785308 463092  33976 5558704    0    0     0     4  183  675 48  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 785308 462588  33976 5558712    0    0     0     0  803 1966 49  4 47  0  0
